,question,A,B,C,D,E,truth
1,电脑,コンピューター,デジタル,ゲーム機,チップ,人工知能,A
2,自行车,自動車,電車,自動二輪車,自転車,手押し車,D
3,汽水,精製水,ソフトドリンク,ジュース,ソーダ,スポーツドリンク,D
4,火腿,ソーセージ,ハム,もも,ひざ,ふくらはぎ,B
5,吉他,バイオリン,ビオラ,チェロ,ピアノ,ギター,E
6,金枪鱼,サーモン,サンマ,マグロ,イカ,鮫,C
7,袜子,靴下,ハンカチ,シャツ,コート,パンツ,A
8,知了,バッタ,カブトムシ,アブラゼミ,カミキリムシ,コオロギ,C
9,网球,バレーボール,バドミントン,卓球,ラクロス,テニス,E
10,橄榄油,ごま油,オリーブオイル,大豆油,菜種油,サフラワー油,B
11,股票,投資信託,為替,保険,株式,国債,D
12,无聊的,面白い,きれいな,つまらない,激しい,乏しい,C
13,超市,コンビニ,モール,八百屋,商店街,スーパーマーケット,E
14,披萨,ハンバーガー,パスタ,リゾット,ピザ,ケバブ,D
15,领带,ネクタイ,ウエストベルト,マフラー,スカーフ,リストバンド,A
16,宝马（自動車ブランド）,トヨタ,BMW,シボレー,プジョー,フォルクスワーゲン,B
17,手纸,メモ帳,ティッシュ,トイレットペーパー,手紙,ナプキン,C
18,哈士奇,ハスキー,コリー,テリア,コーギー,シェパード,A
19,彩票,記念切手,色鮮やかな絵,サーカスの入場チケット,お金,宝くじ,E
20,红包,プレゼント,お年玉,肉まん,赤い鞄,お守り,B
21,合同,大勢,エキシビジョン,契約,会合,重ね合わす,C
22,面包,シュークリーム,パン,饅頭,バックパック,ハンドバッグ,B
23,企鹅,ガチョウ,タカ,白鳥,ペンギン,カモメ,D
24,熊猫,黒猫,オオヤマネコ,虎猫,シロクマ,パンダ,E
