,question,A,B,C,D,E,truth
1,物質の種類に関する説明として、次のうち正しいものはどれか。,ガソリンは化合物である。,砂糖水は化合物である。,食塩は純物質である。,ダイヤモンドは化合物である。,オゾンは混合物である。,C
2,酸素の性質で、間違っているものはどれか,気中に約21%含まれている。 ,可燃性の気体である。,様々な元素と化合し、酸化物をつくる。,無色無臭の単体である。,酸素濃度が高くなると、可燃物が激しく燃焼する。,B
3,次の変化のうち、物理変化はどれか。,紙が濃硫酸に触れて、黒くなった。,木炭が燃えて、二酸化炭素になった。,水を電気分解すると、酸素と水素になった。,都市ガスが燃えている。,ドライアイスを常温で放置すると、二酸化炭素になった。,E
4,火災の危険性が大きいものであることの説明として、次の選択肢で、正しいものをすべて選べ,引火点が低い,酸化されにくい,燃焼範囲が広い,静電気を発生・蓄積しにくい,可燃性蒸気を発生しにくい,A
5,物質の状態変化と物質の温度の関係について、次のうち正しいものはどれか。,固体が液体に変化するとき、熱を吸収するので、物質の温度は上がる。,液体が気体に変化するとき、熱を吸収するので、物質の温度は上がる。,状態が変化するとき、吸収または放出される熱は、その物質の温度変化となって現れない。,気体が液体に変化するとき、熱を放出するので、物質の温度は下がる。,気体が固体に変化するとき、熱を放出するので、物質の温度は下がる。,C
6,水が消火剤として広く使用される理由として、次のうち最も適当なものはどれか。,水は凝固して氷になると、体積が増加する。,水は4 °Cにおける比重が1である。,水は気化熱が大きく、かつ入手が容易である。,水は常温（20°C)においては、液体である。,水は少量でも、消火効果がある。,C
7,ガソリンの燃焼についての説明として、次のうち正しいものはどれか。,ガソリンに溶けているガソリンの蒸気が燃焼する。,ガソリンの蒸気とガソリン自体が燃焼する。,ガソリンが加熱されて分解し、発生するガスが燃焼する。,ガソリン自体が燃焼する。,ガソリンの蒸気は燃えるが、ガソリン自体は燃焼しない。,E
8,pH6の水溶液の性質として、次のうち正しいものはどれか,強い酸性である。,強いアルカリ性である。,中性である。,弱い酸性である。,弱いアルカリ性である。,D
9,静電気についての説明として、次のうち間違っているものはどれか。,接地（アース）すると、静電気の蓄積をある程度防止できる。,空気中の湿度を高くすると、静電気の発生を抑制できる。,静電気は、一般の火花と異なり、点火源にはなりにくい。,ガソリンを詰め替える際に、静電気が発生しやすい。,静電気は、電気の不良導体に蓄積されやすい。,C
10,次の選択肢のうち、消火作用として抑制作用のあるものとして、正しい組合せはどれか。A 水消火器B 八ロゲン化物消火器C 粉末消火器D 化学消火器E 二酸化炭素消火器,AとB,BとC,BとD,CとD,CとE,B
11,次の物質の状態変化の説明のうち、誤っているものはどれか,液体が固体に変化することを凝固と呼ぶ 。,固体が気体に変化することを昇華と呼ぶ 。,気体が固体に変化することを凝固と呼ぶ 。,気体が液体に変化することを凝縮と呼ぶ 。,固体が液体に変化することを融解と呼ぶ 。,C
12,ある物質 5g の温度を ０℃ から 25℃まで上げるのに、 262.5J 熱量を必要とした。この物質の比熱として、次の選択肢のうち正しいものを選べ。,0.7J (g・K),1.8J/ (g・K),2.1J(g・K),4.2J(g・K),6.2J(g・K),C
13,静電気に関する説明で、次の選択肢のうち正しいものを選べ。,静電気の発生・蓄積を防止するためには、湿度を下げた方がよい 。,静電気は固体ばかりではなく、液体の流れによって起こる場合もある,静電気による火災では、水系の消火器を使用してはならない,可燃性蒸気は、物質に蓄積された静電気の電気分解作用により引火する,摩擦で発生した静電気が、その物質を発熱させて蒸気を発生しやすくする。,B
14,次の化合物及び混合物に関する説明のうち誤っているものを選べ。,重油は炭化水素の混合物,メタノールはヒドロキシル基を有する化合物,食塩水は水と食塩の混合物だ,水は酸素と水素の化合物,ガソリンは炭化水素の化合物,D
15,次の説明のうち、還元反応に該当するものを選べ。,鉄が赤くさびて、ぼろぼろになった,一酸化炭素が燃焼して、二酸化炭素になった,赤い銅を熱すると酸化銅になった,酸化銅を水素が入った容器内に入れると銅になった,濃硫酸を水で薄めると希硫酸になった,D
16,燃焼の三要素がそろっている組合せは、次の選択肢のうちどれか。,酸素 ・水素 ・二酸化炭素,空気 ・赤りん・二酸化炭素,酸素 ・電気火花 ・一酸化炭素,酸素 ・窒素 ・プロパン,窒素 ・磁力・一酸化炭素,C
17,燃焼の難易と直接関係があるものとして、次の選択肢のうち誤っているものを選べ 。,体膨張率が大きい,酸化されやすい,熱伝導率が小さい,燃焼範囲が広い,空気との接触面積が大きい,A
18,次の組合せのうち、火災の種類とその火災に適さない消火器との組合せはどれか。,油火災・・・粉末(りん酸アンモニウム)消火器,油火災 ・・・二酸化炭素消火器,普通火災・・・強化液消火器,電気火災 ・・・泡消火器,電気火災・・・ハロゲン化物消火器,D
19,次の水に関する説明で、間違っているものはどれか,水の密度は4度の場合が、最大である,気化熱の大きいことが、消火に使われる一つの理由,水の比熱は、物質中最大,水は気圧に関係なしに１００度で沸騰する,水を電気分解させると、水素と酸素になる,C
20,液体についての説明で間違っているものはどれか,外気の圧力が低くなれば、液体の沸点も低くなる,液体の外気の圧力が大きいほど、高い温度で沸騰する,液体の蒸気圧は、液温が上昇するとともに高くなる,液体が気体に変化することを、 気化と呼び、固体が液体に変化することを凝縮と呼ぶ,液体の蒸気圧が大気圧と同じになると、沸騰する,D
